half_window,metric,break_date,delta_pp
63,us_abs_return_share,2022-12-29,2.0078624081642795
63,us_abs_return_share,2023-01-06,2.174239677395545
63,us_abs_return_share,2023-01-13,1.1891507807220925
63,us_abs_return_share,2023-01-23,0.46834395712843646
63,us_abs_return_share,2023-01-30,1.992715098929515
63,us_abs_return_share,2023-02-06,1.8873556322018814
63,us_abs_return_share,2023-02-13,0.6986324626249429
63,us_abs_return_share,2023-02-21,-1.4245976853577258
63,us_abs_return_share,2023-02-28,-1.497707306910967
63,us_abs_return_share,2023-03-07,-0.9324538135615457
63,us_abs_return_share,2023-03-14,-1.7010775957273905
63,us_abs_return_share,2023-03-21,-1.3481815983570622
63,us_abs_return_share,2023-03-29,-0.4522781766230388
63,us_abs_return_share,2023-04-05,0.08191352915835615
63,us_abs_return_share,2023-04-13,0.20400715328678376
63,us_abs_return_share,2023-04-20,0.9400408022431139
63,us_abs_return_share,2023-04-27,1.4305591203402634
63,us_abs_return_share,2023-05-04,0.44664626943136665
63,us_abs_return_share,2023-05-11,1.3259953549399517
63,us_abs_return_share,2023-05-18,2.8267234794797815
63,us_abs_return_share,2023-05-25,3.005117839428084
63,us_abs_return_share,2023-06-02,4.122606972604387
63,us_abs_return_share,2023-06-09,3.7697109752340587
63,us_abs_return_share,2023-06-16,4.88086361529787
63,us_abs_return_share,2023-06-26,2.72710469228718
63,us_abs_return_share,2023-07-03,1.9871991174785553
63,us_abs_return_share,2023-07-11,3.42255426062113
63,us_abs_return_share,2023-07-18,1.8381772596179458
63,us_abs_return_share,2023-07-25,1.8989543493421246
63,us_abs_return_share,2023-08-01,1.785898646456574
63,us_abs_return_share,2023-08-08,1.34420811638713
63,us_abs_return_share,2023-08-15,0.2730915583161242
63,us_abs_return_share,2023-08-22,-0.0524003161991915
63,us_abs_return_share,2023-08-29,-0.29685198504353916
63,us_abs_return_share,2023-09-06,-2.6217889772810645
63,us_abs_return_share,2023-09-13,-3.5429819587249725
63,us_abs_return_share,2023-09-20,-3.6741486429733072
63,us_abs_return_share,2023-09-27,-2.4038628295209308
63,us_abs_return_share,2023-10-04,-2.7616876892493702
63,us_abs_return_share,2023-10-11,-3.900441401696819
126,us_volume_share,2022-07-14,-2.4683647850321067
126,us_volume_share,2022-07-21,-2.301181037017236
126,us_volume_share,2022-07-28,-2.301181037017236
126,us_volume_share,2022-08-04,-2.301181037017236
